Time,current_position_1,current_position_2,current_position_3,error_position_1,error_position_2,error_position_3,controller_1,controller_2,controller_3
11.6,0.00752854646573743,-0.0397971199027502,0.842998949810863,-0.00752854646573743,0.0397971199027502,-0.0429989498108625,-0.0112038350639435,-0.0535595734224773,-0.394619557154924
11.64,0.00717420625450623,-0.0389266270877559,0.842814413830638,-0.00717420625450623,0.0389266270877559,-0.0428144138306379,-0.010614456007614,-0.0530837840085851,-0.39455308637321
11.68,0.00689239009286812,-0.0383028819485283,0.842705039307475,-0.00689239009286812,0.0383028819485283,-0.042705039307475,-0.0110600083274159,-0.0547627467753203,-0.395335642509907
11.72,0.00649768212394224,-0.0374634509206514,0.84255918674171,-0.00649768212394224,0.0374634509206514,-0.0425591867417097,-0.0100692213653731,-0.0528859359631968,-0.394983345879614
11.76,0.00616931509351474,-0.0368275528047588,0.842340556904674,-0.00616931509351474,0.0368275528047588,-0.0423405569046735,-0.0104484269561878,-0.0542330004585633,-0.394231376621872
11.8,0.00584116972477657,-0.0362446498274736,0.84191825799644,-0.00584116972477657,0.0362446498274736,-0.0419182579964399,-0.0103311699015495,-0.0544709579128148,-0.39206821756959
11.84,0.00542487416583113,-0.0356516296628994,0.841349689289927,-0.00542487416583113,0.0356516296628994,-0.0413496892899274,-0.00951520759086639,-0.0542303602419714,-0.390405071749538
11.88,0.00509546704350631,-0.0349568324005417,0.840938298031688,-0.00509546704350631,0.0349568324005417,-0.0409382980316877,-0.0100459577649228,-0.0532604163629787,-0.391853849981725
11.92,0.00455675133245372,-0.0341919063978604,0.840629426762462,-0.00455675133245372,0.0341919063978604,-0.0406294267624616,-0.00827084799913047,-0.0524983940742806,-0.392806490833312
11.96,0.00400598287714419,-0.0336775815055299,0.840542582795024,-0.00400598287714419,0.0336775815055299,-0.0405425827950239,-0.00796925853774454,-0.0542405562577743,-0.395064600721002
12,0.00320346964685126,-0.0330669013249287,0.840870527550578,-0.00320346964685126,0.0330669013249287,-0.0408705275505781,-0.00576817939900611,-0.0533409746865148,-0.399457545494288
12.04,0.00261761520351303,-0.0324988060115487,0.841206578537822,-0.00261761520351303,0.0324988060115487,-0.0412065785378217,-0.00716518546312483,-0.0534992568679718,-0.399788374359906
12.08,0.0019131426131896,-0.0316584361031561,0.841691104695201,-0.0019131426131896,0.0316584361031561,-0.0416911046952009,-0.00599899555501345,-0.0511860470540431,-0.401597802297026
12.12,0.00160338672087875,-0.0312672275645973,0.84181740693748,-0.00160338672087875,0.0312672275645973,-0.0418174069374799,-0.00883929471840984,-0.0544615907845798,-0.398162096476555
12.16,0.000922789582681709,-0.0307289702222076,0.841770617291331,-0.000922789582681709,0.0307289702222076,-0.0417706172913312,-0.00578895329242631,-0.053205956274021,-0.396491417583078
12.2,1.63819338719531e-05,-0.0299980695421109,0.84149625711143,-1.63819338719531e-05,0.0299980695421109,-0.0414962571114301,-0.00373465698247245,-0.0515302289096248,-0.394162073390186
12.24,-0.000754629481009699,-0.0295312927291218,0.841302243992686,0.000754629481009699,0.0295312927291218,-0.0413022439926862,-0.00444175693484831,-0.0533844433268198,-0.394951529956609
12.28,-0.00134476033497624,-0.029305317238055,0.841291038319468,0.00134476033497624,0.029305317238055,-0.0412910383194685,-0.00556079954116298,-0.0551591256302691,-0.396856606063247
12.32,-0.00197554285929147,-0.0291576679244885,0.841393141075969,0.00197554285929147,0.0291576679244885,-0.0413931410759687,-0.00500090948315185,-0.0557461228705702,-0.398123323815316
12.36,-0.00269271964421196,-0.028884772647083,0.841586260125041,0.00269271964421196,0.028884772647083,-0.041586260125041,-0.0040621307289255,-0.0547559353666654,-0.399212832547724
12.4,-0.00328342500288259,-0.028791477565182,0.841893104836345,0.00328342500288259,0.028791477565182,-0.0418931048363447,-0.00476899884304289,-0.0561233883454823,-0.400586684045941
12.44,-0.00383011680486142,-0.0287781549615781,0.842402605339885,0.00383011680486142,0.0287781549615781,-0.0424026053398847,-0.00487385694743404,-0.0567754358463995,-0.402951778429747
12.48,-0.00451729683139337,-0.0287355417279716,0.842457680031657,0.00451729683139337,0.0287355417279716,-0.0424576800316572,-0.00353766301906314,-0.05659626713786,-0.398519862868637
12.52,-0.0049924159748067,-0.0287863845000642,0.842688588425517,0.0049924159748067,0.0287863845000642,-0.042688588425517,-0.00492903739142462,-0.0573749953728967,-0.400478569446504
12.56,-0.0057625148283845,-0.028766530394862,0.842817274853587,0.0057625148283845,0.028766530394862,-0.0428172748535871,-0.00239866519181044,-0.0568943999201054,-0.399606070179492
12.6,-0.00627644261523328,-0.0287937006289661,0.842788962647319,0.00627644261523328,0.0287937006289661,-0.0427889626473188,-0.00410285204788181,-0.0573154836193329,-0.398107562282681
12.64,-0.006783289689517,-0.028885840686856,0.84282192401588,0.006783289689517,0.028885840686856,-0.0428219240158796,-0.00394066567717572,-0.0578972007221411,-0.398822356640547
12.68,-0.00750944106655247,-0.0289829876399906,0.84259763173759,0.00750944106655247,0.0289829876399906,-0.0425976317375898,-0.00199185627634445,-0.0580313828991042,-0.396223317880928
12.72,-0.00800150216140316,-0.0291269222644075,0.842383233830333,0.00800150216140316,0.0291269222644075,-0.0423832338303327,-0.0035356900726569,-0.0584978302587676,-0.396300257901102
